Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;;;;;;;;;;;;;;;;
Transport;USA;Expeditors International;Air Courier;USA;No Goodwill;-100,000;8;8;8;8;8;8;8;8;8;8;8;8;5;0;0;0;0;;;;;;;;;;;;;;;;
Transport;USA;Delta Air Lines;Airlines;USA;Complete Goodwill;0,537;9794;9794;9794;9794;9794;9787;9731;12104;227;227;227;2092;2092;2092;2149;2060;265;;;;;;;;;;;;;;;;
Transport;EU;Deutsche Lufthansa;Airlines;Germany;Complete Goodwill;-0,062;748;851;814;794;805;858;832;867;777;1082;929;1042;1585;1405;96;128;0;;;;;;;;;;;;;;;;
Transport;Japan;Japan Airlines;Airlines;Japan;Short Goodwill;-100,000;11;21;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;USA;United Continental;Airlines;USA;Short Goodwill;-100,000;4523;4523;4523;4523;4523;0;0;2280;2703;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;USA;Southwest Airlines;Airlines;USA;Short Goodwill;-100,000;970;970;970;970;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;All Nippon Airways;Airlines;Japan;Short Goodwill;-100,000;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;China;China Southern Airlines;Airlines;China;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;International Airlines;Airlines;UK;Short Goodwill;-100,000;96;105;65;385;63;64;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;Air France - KLM;Airlines;France;Complete Goodwill;0,811;296;327;333;552;533;575;559;550;269;253;278;120;117;110;123;52;0;;;;;;;;;;;;;;;;
Transport;USA;American Airlines;Airlines;USA;Short Goodwill;-100,000;4091;4086;0;0;0;0;0;0;0;0;829;0;0;1392;0;0;0;;;;;;;;;;;;;;;;
Transport;USA;US Airways Group;Airlines;USA;No Goodwill;-100,000;0;0;0;0;0;0;0;622;629;732;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Can Aus;Qantas Airways;Airlines;Australia;Complete Goodwill;0,777;169;174;204;151;151;174;202;123;100;85;82;69;0;78;0;24;23;;;;;;;;;;;;;;;;
Transport;S Korea;Korean Air;Airlines;S Korea;No Goodwill;-100,000;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Can Aus;Air Canada;Airlines;Canada;Short Goodwill;-100,000;268;292;311;315;302;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Russia;Aeroflot;Airlines;Russia;Short Goodwill;-100,000;120;162;226;255;7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
